Protein	Genes	ABAGE_IgG	ABAGE_S	ANAMA_IgG	ANAMA_S	CARVA_IgG	CARVA_S	CECPA_IgG	CECPA_S	CHAAN_IgG	CHAAN_S	control_TGF5	DEPMA_IgG	DEPMA_S	DEVZI_IgG	DEVZI_S	DUCMA_IgG	DUCMA_S	GRUMA_IgG	GRUMA_S	HC4_IgG	HC4_S	HC7_IgG	HC7_S	HC9_IgG	HC9_S	HC10_IgG	HC10_S	HC11_IgG	HC11_S	LEFKA_IgG	LEFKA_S	MATEV_IgG	MATEV_S	PBS	RADSO_IgG	RADSO_S	VANMC_IgG	VANMC_S	VERSA_IgG	VERSA_S	WILWI_IgG	WILWI_S
P01023	A2M	28.5761	31.4579	29.1014	32.6445	29.5352	32.3367	28.2027	31.9157	28.0479	31.1461	28.0479	27.933	32.4548	27.8838	30.1696	27.8748	31.0559	31.0001	33.1315	27.7502	31.0419	27.2217	30.9918	27.5823	31.0705	27.2254	30.6962	27.8767	31.0979	29.8114	32.8835	29.2502	31.3678	27.533	27.7932	30.7429	28.0204	32.3191	27.7619	31.9879	27.8961	31.1441
D6W5G0	AAK1	23.5199	25.7929	24.0915	24.5919	25.1087	22.9321	25.9777	25.4158	26.5412	26.0604	26.898	26.0834	25.0751	26.0957	26.1448	26.3809	26.2099	26.4865	26.2916	27.2475	26.4492	27.2966	26.6938	26.6154	26.9362	27.3228	27.3402	25.2324	26.9188	24.1859	23.6303	24.0429	24.3267	26.9672	26.5697	26.0668	26.8292	26.4119	25.8333	25.1512	26.0787	23.3803
A0A096LP25	AAK1	23.4305	24.5549	22.7847	22.4285	23.5755	23.5189	24.4601	24.3231	24.2083	23.7076	24.833	22.3484	24.3635	24.2536	24.2605	22.2365	24.1252	24.2556	24.2479	24.2909	23.6977	24.4483	24.5281	24.555	24.3529	24.5016	24.398	24.3981	24.8979	23.6627	23.7927	23.8893	23.0326	24.1879	24.4975	24.2813	24.0496	24.1628	24.6668	24.385	23.7752	24.3372
E9PNP3	AAMDC	23.6787	24.661	22.1138	24.8256	24.7155	23.926	24.0531	22.5938	24.2529	24.6697	22.7969	24.3088	24.7627	24.2351	24.5513	22.2855	24.856	24.3966	24.3422	24.0536	24.1528	22.5606	22.6692	24.1465	24.215	21.8789	22.8555	23.4753	23.0164	22.7589	24.4867	24.1305	24.6227	22.204	23.9434	24.6017	24.2369	24.3637	24.352	24.3056	24.5822	22.6505
P49588	AARS	30.4955	30.7361	30.0618	30.2536	30.2903	30.3969	29.676	29.6772	29.5205	29.7553	29.8191	29.6362	30.0445	29.6702	29.7175	29.9393	30.3352	29.6978	29.7763	29.6853	29.9442	29.703	29.6534	29.554	29.8308	29.5647	29.7887	29.8611	29.8554	30.1097	30.2204	30.0275	30.2865	29.5087	29.6216	29.7788	29.6337	29.8651	29.7638	29.9866	29.9246	30.2509
A0A024R436	ABCB6	22.7949	24.8	22.5552	23.15	24.2415	24.2598	24.3244	22.6655	24.1659	23.8645	23.7822	23.4697	24.1213	24.5628	23.3744	22.7266	24.2784	24.2415	23.4268	24.0331	24.295	24.2213	23.7313	23.7565	23.6557	23.3693	24.205	24.7205	23.744	22.573	23.4893	23.6889	23.7323	24.3119	24.179	24.0974	24.3777	24.4728	23.6629	23.621	24.215	23.8788
P28288	ABCD3	25.3102	26.3394	25.6507	25.1149	26.1255	24.8219	25.8071	25.3909	25.7701	25.2722	25.9616	26.2508	25.4389	25.7813	25.6338	25.8732	26.0316	25.7806	24.949	26.1698	25.5913	26.3044	25.1729	25.6546	25.5658	25.7285	25.5758	25.6503	25.1453	26.0424	25.6532	25.6829	26.0055	26.1537	25.7046	25.7102	25.8365	25.4893	25.8009	25.6877	25.9328	25.4279
P61221	ABCE1	27.4349	27.0672	27.318	27.3286	27.0026	27.3342	26.5625	26.8092	27.1249	27.0099	26.6711	27.3113	27.5608	27.0721	27.1965	27.9138	27.6292	26.9657	27.1227	27.3732	27.3371	26.9394	26.7701	26.8227	26.7808	26.7189	26.8743	27.2848	26.8203	26.821	27.1357	27.1098	27.3852	26.723	27.1466	27.0549	26.968	27.1006	27.4178	27.3217	27.4165	27.9397
A0A1U9X609	ABCF1	26.826	26.6857	26.4193	26.6357	26.7516	26.7986	26.5595	26.3624	26.37	26.3496	26.7052	26.3515	26.2351	26.5437	26.6123	26.6088	27.0091	26.4868	26.2631	26.6103	26.4333	26.7796	26.5741	26.7646	26.7098	26.9257	26.5052	26.6966	26.6013	26.8695	26.8484	27.0091	26.9705	26.6824	26.6298	26.3428	26.6553	26.6287	26.317	26.5658	26.699	26.514
A0A090N7X1	ABCF2	23.4186	22.4244	23.3725	24.6717	23.3713	22.1556	24.2727	23.843	23.8901	24.1688	25.1962	24.2534	22.9324	24.4219	24.5954	23.4349	23.5938	24.3018	24.4568	23.9187	24.2979	24.6875	25.0743	24.765	24.5847	24.7599	25.0362	23.4699	24.5127	23.6431	21.9952	22.8911	23.0424	25.0328	24.2444	24.2763	24.2698	24.2185	21.9505	22.297	21.9041	23.7684
B4DRU9	ABCF3	25.0013	23.5874	21.4666	24.387	24.1029	23.8331	23.2481	22.3713	22.3769	22.664	21.1263	21.1261	22.8161	21.537	22.8788	23.045	22.4605	22.2649	21.7769	21.1684	22.0604	23.2639	22.4809	24.2534	22.3972	23.9763	23.1135	24.5736	21.2581	23.7924	24.3705	21.8729	21.7587	23.8334	23.1752	24.0795	22.7846	22.2589	23.0628	23.0464	24.3042	23.8103
Q9NUJ1	ABHD10	23.0733	23.9191	23.862	23.8468	22.8153	23.4774	24.6484	24.5824	25.0595	24.9829	24.4679	24.3528	22.624	24.9449	24.3675	22.8273	21.1793	24.9045	25.1626	24.9463	24.6957	24.6842	21.9721	24.4632	24.5781	23.9353	24.9068	22.7433	24.1009	23.3085	25.2046	22.7708	22.4895	24.2676	24.8481	24.6371	24.9958	24.7499	22.8903	23.1923	24.0249	23.8598
A0A0A0MRT6	ABI1	24.2649	24.4124	23.0217	22.5958	23.1927	21.5936	25.1383	24.9075	22.5497	22.6415	23.3887	25.4266	25.8663	21.8113	24.8771	25.2958	25.6599	25.1936	25.2072	25.2931	24.6375	25.471	22.6585	24.8112	24.708	25.4229	25.28	24.5427	24.7828	23.6533	23.0107	24.0699	23.5367	24.4029	24.8961	22.8172	21.6308	24.7456	25.7984	25.578	24.1898	22.7306
B7Z2X0	ABR	23.9786	23.1289	20.7633	22.7134	24.065	22.5664	22.6863	22.6326	23.3412	21.4876	21.5478	23.3699	23.0732	21.7418	22.7925	24.4771	24.398	21.9178	22.007	22.5274	22.9704	24.1003	21.482	23.8875	23.1539	23.0969	23.7064	21.6614	23.342	22.9666	23.3181	24.0189	23.6799	22.5366	22.9025	23.2877	24.0918	23.2518	22.2881	23.5075	24.1131	23.755
B4DEN6	ACAA1	27.0972	27.0487	26.9812	26.448	26.654	27.1867	26.601	26.4424	26.1574	25.9978	25.8319	26.1959	26.2892	26.4666	26.0014	26.2819	25.9083	26.0496	25.7275	26.2438	26.2549	26.2232	25.1162	26.3081	26.122	25.9998	25.988	26.2698	25.7316	27.8292	26.7634	26.7717	26.6698	25.8901	26.5584	25.9743	26.1849	25.9387	26.3487	26.4167	27.0253	27.0266
B2RB23	ACAA2	28.4557	28.6947	28.512	28.5982	28.5723	28.7428	28.3514	28.2152	28.3856	28.0942	27.715	28.8189	28.7528	28.3329	28.1419	28.748	28.5545	28.1158	28.5756	28.4523	28.4335	28.088	28.314	28.2428	28.1789	28.4951	28.3202	28.5542	28.4318	28.763	28.7359	28.7091	28.5486	27.9078	28.2911	28.4444	28.2818	28.1568	28.5698	28.4787	28.7301	28.488
Q9H845	ACAD9	25.0747	23.3438	31.087	31.4299	31.2454	31.4485	30.7832	30.8235	30.5728	30.891	23.7077	30.8807	20.9698	30.9681	30.8774	22.8866	24.1937	30.4849	30.7239	30.5443	30.9703	30.3317	30.9338	30.7899	30.7003	30.5411	30.7112	31.6219	31.3003	31.6019	31.1926	31.0878	31.3677	30.8807	30.9176	31.0963	30.8466	30.6352	22.5559	22.8782	23.704	22.1214
A0A0S2Z366	ACADM	25.3119	24.8364	25.2226	25.5509	24.9698	25.2755	25.4024	25.2479	25.4733	25.3989	24.1684	25.7285	25.7486	25.3932	25.4183	25.7906	25.1485	25.1752	25.3196	25.3437	25.5365	24.7412	24.7645	24.4181	25.1022	24.6876	25.5873	24.2553	25.2584	25.309	25.1411	24.7739	23.5857	24.2362	25.4937	25.4435	25.4274	25.4429	25.684	25.6827	25.3809	25.2268
A0A0S2Z3P9	ACADSB	23.6835	22.7234	22.9689	23.5557	22.4201	23.8358	24.0652	23.2326	23.7102	24.0746	22.8902	21.1449	23.584	23.3038	21.9839	24.0004	24.2858	23.6084	23.6985	23.6466	23.6122	24.0866	23.9933	21.8622	21.7814	23.7587	23.7916	24.4568	24.0322	23.3029	22.2815	23.5158	24.7717	22.0816	23.5571	23.7617	23.8848	21.1581	23.8678	23.78	22.3482	23.8984
P49748	ACADVL	28.2846	28.0309	28.0567	28.6426	28.3729	28.8742	27.9377	28.3475	27.9999	28.1437	27.1985	27.7698	28.3912	27.8631	28.0045	28.1958	28.4255	27.9258	28.8886	27.9757	28.1405	28.0512	28.0754	27.8687	27.947	27.7984	28.2783	27.9456	28.2661	28.2952	27.9159	28.19	28.4782	27.7262	27.9095	28.2678	27.8691	28.2725	27.9984	28.3229	28.162	28.136
