LFQ intensity 1	LFQ intensity 10	LFQ intensity 11	LFQ intensity 12	LFQ intensity 13	LFQ intensity 14	LFQ intensity 15	LFQ intensity 16	LFQ intensity 17	LFQ intensity 18	LFQ intensity 19	LFQ intensity 2	LFQ intensity 20	LFQ intensity 21	LFQ intensity 22	LFQ intensity 23	LFQ intensity 24	LFQ intensity 25	LFQ intensity 26	LFQ intensity 27	LFQ intensity 28	LFQ intensity 29	LFQ intensity 3	LFQ intensity 30	LFQ intensity 31	LFQ intensity 32	LFQ intensity 33	LFQ intensity 34	LFQ intensity 35	LFQ intensity 36	LFQ intensity 37	LFQ intensity 38	LFQ intensity 39	LFQ intensity 4	LFQ intensity 40	LFQ intensity 41	LFQ intensity 42	LFQ intensity 43	LFQ intensity 44	LFQ intensity 45	LFQ intensity 5	LFQ intensity 6	LFQ intensity 7	LFQ intensity 8	LFQ intensity 9	N: N: Peptides	N: N: Unique peptides	N: N: Sequence coverage [%]	N: N: Unique sequence coverage [%]	N: N: Mol. weight [kDa]	N: N: Score	N: N: Intensity	N: N: MS/MS count	T: T: Protein IDs	T: T: Majority protein IDs	T: T: Protein names	T: T: Gene names	T: T: id
22,2023	22,4034	23,2478	23,8053	23,8581	21,7735	22,9566	21,8964	23,4251	20,5626	22,9998	20,4864	22,1723	22,6192	22,3673	22,2388	24,3178	23,5681	23,4482	20,9941	21,8905	23,7938	22,1977	23,3955	23,4343	23,566	23,8452	24,2584	23,4184	24,2288	24,7261	23,9042	24,0618	23,9245	24,4606	23,6455	23,2792	22,9871	23,465	24,1896	23,4656	22,9425	23,949	21,8571	23,8206	12	12	171	171	989	28182	1048300000	122	A0FGR8-2;A0FGR8;A0FGR8-6;A0FGR8-4;A0FGR8-5	A0FGR8-2;A0FGR8;A0FGR8-6;A0FGR8-4	Extended synaptotagmin-2	ESYT2	3
21,4925	23,0359	22,6847	21,2647	22,5851	22,4695	21,7554	20,7805	22,056	20,9323	22,8474	20,889	21,5158	20,3951	22,4855	22,1159	21,7738	22,9538	21,9265	22,0625	22,1722	22,3194	21,8744	21,7082	21,3883	21,6513	21,9477	23,1471	21,9077	21,7185	22,4528	22,1908	22,6268	22,7061	22,8185	23,0201	21,8915	21,8647	22,2253	21,9248	21,4939	21,9899	21,9017	22,698	23,2548	2	2	28	28	89374	22276	31083000	5	A1A4S6	A1A4S6	Rho GTPase-activating protein 10	ARHGAP10	4
21,4253	21,8803	22,1319	21,765	21,4841	22,2866	22,0051	21,9198	22,3224	20,7512	21,5532	20,4927	21,988	20,7502	22,1594	21,8989	22,5494	22,5938	22,0759	21,7909	21,9177	23,0793	22,3531	22,6359	24,0693	23,0624	22,0593	23,0592	21,8858	23,1209	22,8641	22,5576	21,9563	23,4959	22,7433	22,0712	22,3732	21,8835	21,6025	22,985	22,4797	22,1462	22,262	21,5471	22,2434	4	4	84	84	67867	63768	133550000	22	A1L0T0	A1L0T0	Acetolactate synthase-like protein	ILVBL	5
21,7476	22,3863	22,5753	22,428	22,7136	22,5561	21,783	22,8899	22,702	20,6395	23,2994	20,889	23,4229	21,0366	22,4449	22,4464	21,9434	22,8137	22,0515	23,0086	22,3041	21,7088	21,6003	22,1789	21,895	22,8357	22,6963	23,314	22,6823	22,5089	22,7868	23,1009	21,4346	22,5986	23,1577	22,7108	21,0978	20,4988	22,8557	23,2382	21,8115	21,9624	22,7314	22,8259	21,6714	6	0	81	0	95047	70269	280170000	50	A2A3N6	A2A3N6	Putative PIP5K1A and PSMD4-like protein	PIPSL	7
22,4764	21,5931	22,7865	22,8383	22,765	22,9545	22,3944	22,4443	22,6558	21,5755	22,3304	20,3931	22,7429	21,9492	20,9334	22,7814	21,7403	20,5494	22,6355	22,2105	22,918	21,9279	21,9008	22,4965	22,1187	22,6746	23,2481	22,6782	21,7568	22,5564	23,6701	23,1862	22,3499	22,9687	23,1001	21,7737	21,747	21,5937	22,2738	21,7915	22,4538	21,8414	22,7475	22,3711	22,6614	6	6	25	25	26638	89136	259210000	41	A5YKK6-2;A5YKK6;A5YKK6-3;A5YKK6-4	A5YKK6-2;A5YKK6;A5YKK6-3	CCR4-NOT transcription complex subunit 1	CNOT1	10
26,4314	25,6586	26,797	25,5956	25,8848	26,6747	26,7761	23,1477	21,9699	21,0045	26,3624	20,3606	23,001	25,2295	22,4464	23,248	25,2507	27,1396	26,2085	26,3353	26,8762	26,704	25,7638	26,6674	26,9677	27,828	27,3141	27,4317	27,229	22,6553	27,7267	27,4155	22,7407	22,7828	21,8944	22,393	25,7115	26,9504	26,6566	26,8891	26,5108	25,5529	25,7635	26,699	26,4957	3	2	69	36	34803	11771	4855300000	146	A6NHQ2	A6NHQ2	rRNA/tRNA 2-O-methyltransferase fibrillarin-like protein 1	FBLL1	13
22,7006	22,5591	22,0316	22,095	22,375	22,8795	22,4435	22,5755	22,6913	21,7372	23,0866	20,7977	22,9241	20,4393	22,2921	24,201	23,1077	24,9639	24,4984	24,6251	24,7794	24,9947	21,84	24,9263	24,4066	25,4633	25,5913	25,0564	25,7814	24,2381	25,5144	25,5568	24,0536	22,6644	24,7115	25,0618	23,4161	24,7243	23,7299	23,774	21,7796	22,1669	22,7086	22,0454	22,599	43	43	274	274	22637	22737	4982200000	400	A6NHR9;A6NHR9-2;A6NHR9-3	A6NHR9;A6NHR9-2	Structural maintenance of chromosomes flexible hinge domain-containing protein 1	SMCHD1	14
21,0452	21,4219	22,1574	22,2288	22,0287	23,0704	21,9982	24,1683	23,8529	23,2433	23,5698	20,6553	23,8294	23,7275	23,3632	22,737	24,4742	22,5199	22,274	20,5763	22,6151	23,775	21,5313	23,4425	24,2496	22,0295	22,272	25,1004	24,5958	24,9704	25,3778	25,1314	25,2097	23,3357	25,6986	24,9293	24,517	24,3827	25,0384	25,2951	21,4101	22,5121	23,5225	22,4567	22,5748	3	3	195	195	23384	53738	1599800000	87	Q13765;E9PAV3-2;E9PAV3	Q13765;E9PAV3-2;E9PAV3	Nascent polypeptide-associated complex subunit alpha;Nascent polypeptide-associated complex subunit alpha, muscle-specific form	NACA	59
21,7516	22,5803	23,7654	21,106	23,3393	21,1288	22,7064	23,5879	23,6961	20,8915	23,6656	20,1994	22,4309	22,594	23,4648	24,1688	23,5189	24,0136	22,134	23,238	23,4522	23,8178	23,6052	22,2253	23,1607	23,6325	22,0953	23,8967	23,579	23,8117	23,95	23,2716	23,2654	23,2956	22,8352	24,0138	23,3188	23,5544	23,2532	23,4234	21,4943	23,6105	22,1969	21,8639	22,3094	14	14	313	313	72911	61533	898600000	62	O00116	O00116	Alkyldihydroxyacetonephosphate synthase, peroxisomal	AGPS	60
23,6593	23,6853	23,5907	23,5362	23,6593	23,938	23,5739	23,8886	23,6811	23,3935	23,8771	21,9785	24,075	22,5635	23,3301	23,2022	23,4414	24,4151	23,1728	23,1432	23,6041	23,6231	23,7032	23,8829	23,2791	24,082	24,5171	24,3424	24,3551	23,5701	24,5932	24,5261	23,4585	23,7025	24,3892	24,1158	22,91	23,3262	23,1123	23,8615	23,6362	23,7967	23,8615	23,248	23,9373	17	17	288	288	75042	73514	1600000000	217	O00139-2;O00139-1;O00139-5;O00139;O00139-4	O00139-2;O00139-1;O00139-5;O00139;O00139-4	Kinesin-like protein KIF2A	KIF2A	61
