LFQ intensity 1	LFQ intensity 10	LFQ intensity 11	LFQ intensity 12	LFQ intensity 13	LFQ intensity 14	LFQ intensity 15	LFQ intensity 16	LFQ intensity 17	LFQ intensity 18	LFQ intensity 19	LFQ intensity 2	LFQ intensity 20	LFQ intensity 21	LFQ intensity 22	LFQ intensity 23	LFQ intensity 24	LFQ intensity 25	LFQ intensity 26	LFQ intensity 27	LFQ intensity 28	LFQ intensity 29	LFQ intensity 3	LFQ intensity 30	LFQ intensity 31	LFQ intensity 32	LFQ intensity 33	LFQ intensity 34	LFQ intensity 35	LFQ intensity 36	LFQ intensity 37	LFQ intensity 38	LFQ intensity 39	LFQ intensity 4	LFQ intensity 40	LFQ intensity 41	LFQ intensity 42	LFQ intensity 43	LFQ intensity 44	LFQ intensity 45	LFQ intensity 5	LFQ intensity 6	LFQ intensity 7	LFQ intensity 8	LFQ intensity 9	N: N: Peptides	N: N: Razor + unique peptides	N: N: Unique peptides	N: N: Sequence coverage [%]	N: N: Unique + razor sequence coverage [%]	N: N: Unique sequence coverage [%]	N: N: Mol, weight [kDa]	N: N: Q-value	N: N: Score	N: N: Intensity	N: N: MS/MS count	T: T: Protein IDs	T: T: Majority protein IDs	T: T: Protein names	T: T: Gene names
23,1328	21,2884	22,0081	21,7609	22,7233	22,1627	22,6873	21,7899	22,5704	21,6698	21,944	22,9557	22,8616	22,8559	22,3141	22,307	22,4722	23,6358	23,1995	23,2601	22,4405	21,1738	24,0377	22,721	22,3348	21,3684	23,5833	21,8427	21,7849	22,0124	22,721	22,9311	22,5073	22,8328	23,1028	22,5384	21,9844	22,4649	22,683	23,9345	23,0485	22,439	22,3298	21,7117	22,1027	1	1	1	139	139	139	12332	50968	10926	33389000	0	A0A075B6K5;P80748	A0A075B6K5;P80748	Ig lambda chain V-III region LOI	IGLV3-9
22,3231	22,5951	23,1441	22,1769	22,5987	23,0462	21,6669	21,1879	21,4114	21,785	22,5329	21,5743	21,8613	22,1405	22,4479	22,6158	23,8847	21,3712	23,0017	24,8869	21,23	21,9321	22,3114	22,8441	22,0649	22,2987	23,1251	21,7376	22,4411	23,1132	21,9468	22,9606	22,8158	22,2675	22,8879	21,8884	23,1868	22,0725	23,3035	24,363	21,8463	22,8323	22,248	21,9466	21,6053	3	2	1	248	154	6	12839	26059	23682	103110000	2	A0A0B4J1X5;A0A0C4DH42;P0DP02;P01767;P01772	A0A0B4J1X5;A0A0C4DH42;P0DP02;P01767;P01772	Ig heavy chain V-III region BUT;Ig heavy chain V-III region KOL	IGHV3-74;IGHV3-66
22,2464	23,3747	23,2179	21,7267	22,5341	22,2739	21,7441	22,9289	22,8872	22,5154	21,1098	22,0297	23,1835	22,3814	22,6049	22,0618	22,5054	22,6526	21,1604	24,9652	22,9569	22,7858	22,5054	23,2711	22,063	23,1033	24,2777	21,7498	23,178	22,3737	22,5685	23,3162	21,6987	22,6384	21,7852	22,2636	22,4886	23,7639	23,9418	25,0121	23,1754	22,1898	21,7637	21,562	22,9722	2	2	2	214	214	214	13016	51493	11266	108860000	2	P0DP08;P0DP06;A0A0C4DH41;P01825;P06331;P01824;A0A075B6R2;P0DP07;A0A087WSY4	P0DP08;P0DP06;A0A0C4DH41;P01825;P06331;P01824;A0A075B6R2;P0DP07;A0A087WSY4	Ig heavy chain V-II region NEWM;Ig heavy chain V-II region ARH-77;Ig heavy chain V-II region WAH	IGHV4-61;IGHV4-4;IGHV4-31
22,6141	22,4621	22,1091	21,4643	22,8422	22,8215	22,5477	22,0621	23,0753	22,0427	22,574	22,6473	22,5621	22,3623	22,1992	22,0571	22,6261	21,5748	20,6927	23,3749	23,2286	20,8631	22,2007	23,3049	23,4239	22,2907	22,9565	22,2814	23,0204	21,0336	22,7759	22,9476	21,3834	22,533	22,5238	22,8045	22,477	22,1436	23,9	24,2331	24,3561	21,2283	21,5327	22,9145	22,4355	2	2	2	154	154	154	12772	28662	21374	36154000	2	A0A0J9YXX1;A0A0C4DH38	A0A0J9YXX1;A0A0C4DH38		IGHV5-51
24,7068	24,8611	24,4682	24,8645	24,6897	24,773	24,8811	24,9774	24,8309	24,8843	24,8295	24,6735	24,8575	24,6523	24,5257	24,6527	24,5943	24,6213	24,5848	24,3019	24,548	24,6116	24,3188	24,2475	24,4782	24,4972	23,7738	24,0764	24,4886	24,137	24,4291	24,5093	24,046	24,6958	24,0383	24,3736	24,0658	24,2256	24,5125	24,1022	25,0553	24,9954	25,0586	25,127	24,8544	10	10	10	118	118	118	11797	0	24078	1953600000	152	A0AVT1;A0AVT1-2;A0AVT1-4;A0AVT1-3	A0AVT1;A0AVT1-2	Ubiquitin-like modifier-activating enzyme 6	UBA6
26,5108	26,6613	26,3566	26,4379	26,4572	26,6312	26,5699	26,6484	26,5881	26,6362	26,2147	27,0487	26,9568	26,1014	26,3063	26,4167	26,0608	26,4018	26,2807	26,0611	26,3592	26,2699	26,7593	26,0966	26,0028	25,9528	26,0257	26,0316	26,041	26,0554	26,1577	25,8747	25,9975	26,6285	26,2259	26,204	25,6603	25,3048	26,0968	24,9183	27,026	26,8152	26,8394	26,3462	26,6067	13	13	13	217	217	217	989	0	12202	5987500000	307	A0FGR8-2;A0FGR8;A0FGR8-6;A0FGR8-4;A0FGR8-5	A0FGR8-2;A0FGR8;A0FGR8-6;A0FGR8-4	Extended synaptotagmin-2	ESYT2
23,4454	23,4338	22,0322	22,964	21,6083	22,9399	23,0613	22,5722	21,64	22,5414	22,6531	22,9702	21,9002	22,2692	22,4584	23,9232	22,7787	23,2748	22,6698	21,5958	23,1564	21,9982	22,1923	22,5796	23,0775	21,8761	23,3827	22,8338	22,8984	21,4644	22,4855	20,5757	23,2366	22,3419	22,1154	21,9243	20,9967	23,6386	22,4336	24,1456	21,6426	22,0373	22,314	22,9406	21,1611	1	1	1	103	103	103	1188	31746	21035	181090000	8	A0PJW8	A0PJW8	Death-associated protein-like 1	DAPL1
25,1021	25,2145	23,6228	25,1779	25,165	25,3451	24,9816	25,054	25,1919	25,366	25,0426	25,3801	25,5469	25,0822	24,8477	21,3052	24,9488	25,0946	24,8729	24,8111	22,5673	24,9873	25,2056	22,8035	25,0061	22,4618	23,6688	23,1623	24,8772	23,3232	25,0535	25,0907	25,2836	25,2403	24,9488	25,346	25,0708	25,0201	25,099	24,0339	25,3389	25,2521	25,021	25,2408	25,3525	10	10	10	201	201	201	67867	0	24902	2370400000	110	A1L0T0	A1L0T0	Acetolactate synthase-like protein	ILVBL
21,8129	22,9483	22,1616	22,8546	21,2338	22,7832	22,723	21,5816	21,6654	23,3438	21,3572	23,3736	22,8564	23,8947	21,613	22,7396	22,5718	21,3561	21,6843	21,2022	22,0957	22,3064	22,9806	22,332	21,5419	24,4265	23,073	22,61	22,5456	22,6847	21,8859	21,1858	23,2575	21,4912	21,8709	21,5048	24,4104	21,8518	22,9924	24,3033	22,9331	22,5573	22,2706	22,9171	22,8758	6	6	6	82	82	82	10158	51046	1095	395600000	27	A1X283;Q5TCZ1-3;Q5TCZ1	A1X283	SH3 and PX domain-containing protein 2B	SH3PXD2B
24,3717	22,8761	24,0916	24,0961	24,0967	24,5507	24,1914	24,2309	24,1982	24,1363	24,0859	25,1673	24,0612	24,1227	24,2546	23,994	24,0863	24,3308	24,1041	23,9563	24,2051	24,2094	24,4693	23,974	24,1055	23,7409	24,0974	24,0827	24,0374	24,3871	24,5419	24,1314	23,8609	24,4103	24,0468	24,7814	22,665	24,2293	23,8324	24,405	24,4689	24,4165	24,3499	23,8764	24,1391	13	13	13	72	72	72	25481	0	6983	1368200000	162	A2RRP1-2;A2RRP1	A2RRP1-2;A2RRP1	Neuroblastoma-amplified sequence	NBAS
